ref_#,cefr_level,task_type,topic,word_count_min,word_count_max,question_prompt,requirement_1,req_1_score_0,req_1_score_1,req_1_score_2,req_1_score_3,requirement_2,req_2_score_0,req_2_score_1,req_2_score_2,req_2_score_3,requirement_3,req_3_score_0,req_3_score_1,req_3_score_2,req_3_score_3,requirement_4,req_4_score_0,req_4_score_1,req_4_score_2,req_4_score_3,status,notes
W-A1-1,b1,note,shopping and consumer activities,50,300,"You are planning to go shopping and want to inform your family.

Write a note to your family about your shopping plans.

- Include where you are going shopping
- Mention what time you will return home
- Explain the reason for going shopping",Where you are going shopping,absent,"states the shopping destination without any additional detail (e.g., 'I am going to the mall').","names the shopping destination AND provides a reason for choosing it (e.g., 'I am going to the mall because it has a wide variety of stores'). (scores 2, not 3 — provides a reason but no specific store or item that anchors the choice concretely.)","all of 2 AND a concrete specific — a particular store or item (e.g., 'I am going to the mall to visit the electronics store for a new phone'). Vague phrases like 'a nice place' or 'somewhere with good deals' do NOT count as concrete specifics.",What time you will return home,absent,"states the return time without any additional detail (e.g., 'I will be back by 5 PM').","provides the return time AND a reason for that timing (e.g., 'I will be back by 5 PM because I want to avoid the evening traffic'). (scores 2, not 3 — gives a reason but no specific event or activity that anchors the timing concretely.)","all of 2 AND a concrete specific — a particular event or activity (e.g., 'I will be back by 5 PM because I have a dinner reservation at 6 PM'). Vague phrases like 'to relax' or 'to unwind' do NOT count as concrete specifics.",Reason for going shopping,absent,"states a reason for shopping without any additional detail (e.g., 'I need to buy groceries').","provides a reason for shopping AND an explanation or cause (e.g., 'I need to buy groceries because we are running low on food'). (scores 2, not 3 — gives a reason but no specific item or occasion that anchors the need concretely.)","all of 2 AND a concrete specific — a particular item or occasion (e.g., 'I need to buy groceries because we are hosting a dinner party tomorrow and need ingredients for lasagna'). Vague phrases like 'to stock up' or 'for the week' do NOT count as concrete specifics.",Additional on-topic development,"no semantically distinct extra on-topic point, OR the 'extra' content paraphrases an idea already credited under another requirement","introduces a DISTINCT extra on-topic point — not a rephrasing or repeat of any other requirement — within the question's subject, with no further detail","introduces a distinct extra on-topic point AND develops it meaningfully (a real reason, cause, or effect — not just length)",introduces a distinct extra on-topic point AND develops it AND supports it with a concrete specific that genuinely advances the argument,auto-generated,
W-A1-2,a1,sentence level,,25,80,"Think about your best friend.

Write three sentences about your best friend.

- Include who your best friend is
- Think about activities you do together
- Consider what you like about your friend",Who your best friend is,absent,"mentions who their best friend is without any additional detail (e.g., 'My best friend is John').","names their best friend and provides a reason or context for the friendship (e.g., 'My best friend is John because we have known each other since childhood'). (scores 2, not 3 — provides a reason but no specific detail about the friend).","all of 2 AND includes a concrete specific about the friend that materially develops the description (e.g., 'My best friend is John, who I met in kindergarten, and he always makes me laugh with his funny stories about his pet dog'). Generic statements like 'he is nice' do NOT count as concrete specifics.",Activities you do together,absent,"mentions an activity they do with their friend without further detail (e.g., 'We play games together').","mentions an activity and provides a reason or context for doing it together (e.g., 'We play games together because it helps us relax after school'). (scores 2, not 3 — provides a reason but no specific detail about the activity).","all of 2 AND includes a concrete specific about the activity that materially develops the description (e.g., 'We play soccer every Saturday at the local park, and it’s our way to stay fit and enjoy the weekend'). Vague phrases like 'we have fun' do NOT count as concrete specifics.",What you like about your friend,absent,"mentions something they like about their friend without further detail (e.g., 'I like that he is kind').","mentions something they like about their friend and provides a reason or context (e.g., 'I like that he is kind because he always helps me with my homework'). (scores 2, not 3 — provides a reason but no specific detail about the friend's kindness).","all of 2 AND includes a concrete specific that materially develops what they like about their friend (e.g., 'I like that he is kind because he once spent an entire afternoon helping me prepare for a difficult math test'). General statements like 'he is a good person' do NOT count as concrete specifics.",Additional on-topic development,"no semantically distinct extra on-topic point, OR the 'extra' content paraphrases an idea already credited under another requirement","introduces a DISTINCT extra on-topic point — not a rephrasing or repeat of any other requirement — within the question's subject, with no further detail","introduces a distinct extra on-topic point AND develops it meaningfully (a real reason, cause, or effect — not just length)",introduces a distinct extra on-topic point AND develops it AND supports it with a concrete specific that genuinely advances the argument,auto-generated,
W-A1-3,a1,sentence level,,25,80,"Write about your family.

Write three sentences about your family.

- Include who is in your family
- Mention where you live
- Say what you like about your family",Who is in your family,absent,"states who is in their family without any additional detail (e.g., 'I have a brother and a sister').","names who is in their family AND provides a reason or detail about them (e.g., 'I have a brother and a sister, and we often play together'). (scores 2, not 3 — provides a reason but no specific example or anecdote).","all of 2 AND includes a concrete specific about a family member (e.g., 'I have a brother named Tom who loves playing soccer with me every weekend'). Generic statements like 'we are a happy family' do NOT count as concrete specifics.",Where you live,absent,"states where they live without any additional detail (e.g., 'I live in a city').","names where they live AND provides a reason or detail about the place (e.g., 'I live in a city because my parents work there'). (scores 2, not 3 — provides a reason but no specific example or description).","all of 2 AND includes a concrete specific about the place (e.g., 'I live in a city called Springfield, which has a beautiful park where I play every day'). Vague descriptions like 'a nice place' do NOT count as concrete specifics.",What you like about your family,absent,"states what they like about their family without any additional detail (e.g., 'I like my family').","states what they like about their family AND provides a reason or detail (e.g., 'I like my family because we spend a lot of time together'). (scores 2, not 3 — provides a reason but no specific example or anecdote).","all of 2 AND includes a concrete specific about a family activity or trait (e.g., 'I like my family because every Sunday we have a big dinner together, and my mom makes her special lasagna'). General statements like 'we are close' do NOT count as concrete specifics.",Additional on-topic development,"no semantically distinct extra on-topic point, OR the 'extra' content paraphrases an idea already credited under another requirement","introduces a DISTINCT extra on-topic point — not a rephrasing or repeat of any other requirement — within the question's subject, with no further detail","introduces a distinct extra on-topic point AND develops it meaningfully (a real reason, cause, or effect — not just length)",introduces a distinct extra on-topic point AND develops it AND supports it with a concrete specific that genuinely advances the argument,auto-generated,
W-A1-4,a1,sentence level,,25,80,"Write about your daily routine.

Write three sentences about what you do each day.

- Include what you do in the morning
- Mention what you do in the afternoon
- Say when you go to bed",What you do in the morning,absent,"states an activity done in the morning without further detail (e.g., 'I eat breakfast').","names a morning activity AND provides a reason or effect (e.g., 'I eat breakfast to have energy for the day'). (scores 2, not 3 — provides a reason but no specific detail about the breakfast or routine).","all of 2 AND includes a concrete specific, such as a type of breakfast or a personal routine (e.g., 'I eat oatmeal with fruit every morning to stay healthy'). Generic statements like 'a healthy breakfast' do NOT count as concrete specifics.",What you do in the afternoon,absent,"states an activity done in the afternoon without further detail (e.g., 'I go for a walk').","names an afternoon activity AND provides a reason or effect (e.g., 'I go for a walk to relax after work'). (scores 2, not 3 — provides a reason but no specific detail about the walk or location).","all of 2 AND includes a concrete specific, such as a location or a personal anecdote (e.g., 'I walk in the park near my house to enjoy the fresh air'). Vague phrases like 'a nice place' do NOT count as concrete specifics.",When you go to bed,absent,"states a time or routine for going to bed without further detail (e.g., 'I go to bed at 10 PM').","names a bedtime AND provides a reason or effect (e.g., 'I go to bed at 10 PM to get enough sleep for work'). (scores 2, not 3 — provides a reason but no specific detail about the bedtime routine or environment).","all of 2 AND includes a concrete specific, such as a bedtime routine or a personal anecdote (e.g., 'I go to bed at 10 PM after reading a chapter of my favorite book'). Generic statements like 'a good night's sleep' do NOT count as concrete specifics.",Additional on-topic development,"no semantically distinct extra on-topic point, OR the 'extra' content paraphrases an idea already credited under another requirement","introduces a DISTINCT extra on-topic point — not a rephrasing or repeat of any other requirement — within the question's subject, with no further detail","introduces a distinct extra on-topic point AND develops it meaningfully (a real reason, cause, or effect — not just length)",introduces a distinct extra on-topic point AND develops it AND supports it with a concrete specific that genuinely advances the argument,auto-generated,
W-A1-5,a1,long answer,,25,80,"Think about your favourite food.

Write a paragraph about it.

- Include what your favourite food is
- Mention where you usually eat it
- Explain why you like it",What your favourite food is,absent,"states their favourite food with no further detail (e.g., 'My favourite food is pizza').","names their favourite food AND provides a reason for liking it (e.g., 'My favourite food is pizza because it is delicious'). (scores 2, not 3 — provides a reason but no specific detail about the food or experience).","all of 2 AND a concrete specific — a particular type of pizza, a memorable experience, or a specific ingredient (e.g., 'My favourite food is Margherita pizza because the fresh basil and mozzarella remind me of family dinners'). Generic statements like 'good food' or 'tasty' do NOT count as concrete specifics.",Where you usually eat it,absent,"mentions a place where they eat their favourite food with no further detail (e.g., 'I eat it at home').","names a place AND provides a reason for eating there (e.g., 'I usually eat it at home because it's comfortable'). (scores 2, not 3 — provides a reason but no specific detail about the place or experience).","all of 2 AND a concrete specific — a particular setting, occasion, or personal anecdote (e.g., 'I usually eat it at home on Friday nights with my family, which makes it special'). Vague descriptions like 'a nice place' do NOT count as concrete specifics.",Why you like it,absent,"states they like their favourite food with no reason given (e.g., 'I like pizza').","provides a reason for liking their favourite food (e.g., 'I like pizza because it is cheesy and satisfying'). (scores 2, not 3 — provides a reason but no specific detail about the food or experience).","all of 2 AND a concrete specific — a particular taste, memory, or occasion (e.g., 'I like pizza because the combination of melted cheese and crispy crust reminds me of summer picnics with friends'). Generic statements like 'it is good' do NOT count as concrete specifics.",Additional on-topic development,"no semantically distinct extra on-topic point, OR the 'extra' content paraphrases an idea already credited under another requirement","introduces a DISTINCT extra on-topic point — not a rephrasing or repeat of any other requirement — within the question's subject, with no further detail","introduces a distinct extra on-topic point AND develops it meaningfully (a real reason, cause, or effect — not just length)",introduces a distinct extra on-topic point AND develops it AND supports it with a concrete specific that genuinely advances the argument,auto-generated,
W-A1-6,a1,note,,25,80,"You need to leave a note for your roommate.

Write a note telling them about your plans.

- Include where you are going
- Mention what time you will come back
- Explain the purpose of your visit",Where you are going,absent,"states the destination without any additional detail (e.g., 'I am going to the supermarket').","names the destination AND provides a reason or context for going (e.g., 'I am going to the supermarket because we need groceries'). (scores 2, not 3 — provides a reason but no specific item or detail about the trip).","all of 2 AND includes a concrete specific about the destination or trip (e.g., 'I am going to the supermarket to buy ingredients for tonight's pasta dinner'). Vague statements like 'to get some things' do NOT count as concrete specifics.",What time you will come back,absent,"states a return time without any additional detail (e.g., 'I will be back at 5 PM').","provides a return time AND a reason or context for that timing (e.g., 'I will be back at 5 PM because I have a meeting at 6 PM'). (scores 2, not 3 — gives a reason but no specific event or detail about the timing).","all of 2 AND includes a concrete specific about the timing or event (e.g., 'I will be back at 5 PM because I need to prepare for my 6 PM online class'). Generic phrases like 'because I have things to do' do NOT count as concrete specifics.",Purpose of your visit,absent,"states the purpose without any additional detail (e.g., 'I am going to study').","provides the purpose AND a reason or context for the visit (e.g., 'I am going to study because I have an exam tomorrow'). (scores 2, not 3 — gives a reason but no specific subject or detail about the study session).","all of 2 AND includes a concrete specific about the purpose or activity (e.g., 'I am going to study for my math exam on algebra'). Vague statements like 'to learn something' do NOT count as concrete specifics.",Additional on-topic development,"no semantically distinct extra on-topic point, OR the 'extra' content paraphrases an idea already credited under another requirement","introduces a DISTINCT extra on-topic point — not a rephrasing or repeat of any other requirement — within the question's subject, with no further detail","introduces a distinct extra on-topic point AND develops it meaningfully (a real reason, cause, or effect — not just length)",introduces a distinct extra on-topic point AND develops it AND supports it with a concrete specific that genuinely advances the argument,auto-generated,
W-A1-7,a1,letter/email,,25,80,"Food is an important part of our lives.

Write an email to your friend about your favorite food.

- Include what your favorite food is
- Mention when you eat your favorite food
- Explain why you like your favorite food",Your favorite food,absent,"states their favorite food in a complete sentence without further detail (e.g., 'My favorite food is pizza').","names their favorite food AND provides a reason for liking it (e.g., 'My favorite food is pizza because it is delicious'). (scores 2, not 3 — gives a reason but no specific detail about the food itself).","all of 2 AND includes a concrete specific about the food (e.g., 'My favorite food is pizza because it is delicious, especially when it has extra cheese and pepperoni'). Generic descriptions like 'tasty' or 'good food' do NOT count as concrete specifics.",When you eat your favorite food,absent,"mentions a time or occasion when they eat their favorite food without further detail (e.g., 'I eat pizza on weekends').","mentions a specific time or occasion AND provides a reason for eating it then (e.g., 'I eat pizza on weekends because it is a treat for my family'). (scores 2, not 3 — provides a reason but lacks a specific detail about the occasion).","all of 2 AND includes a concrete specific about the occasion (e.g., 'I eat pizza on weekends because it is a treat for my family, especially during our movie nights on Saturday'). Vague time references like 'sometimes' or 'often' do NOT count as concrete specifics.",Why you like your favorite food,absent,"states a reason for liking their favorite food without further detail (e.g., 'I like pizza because it tastes good').","provides a reason for liking their favorite food AND adds a simple explanation (e.g., 'I like pizza because it tastes good and is easy to share with friends'). (scores 2, not 3 — gives a reason and explanation but lacks a specific detail).","all of 2 AND includes a concrete specific that materially develops the reason (e.g., 'I like pizza because it tastes good and is easy to share with friends, especially when we order from our favorite local pizzeria that uses fresh ingredients'). General statements like 'it is nice' do NOT count as concrete specifics.",Additional on-topic development,"no semantically distinct extra on-topic point, OR the 'extra' content paraphrases an idea already credited under another requirement","introduces a DISTINCT extra on-topic point — not a rephrasing or repeat of any other requirement — within the question's subject, with no further detail","introduces a distinct extra on-topic point AND develops it meaningfully (a real reason, cause, or effect — not just length)",introduces a distinct extra on-topic point AND develops it AND supports it with a concrete specific that genuinely advances the argument,auto-generated,
W-A1-8,a1,note,,25,80,"Share some information about your favorite class.

Write a note about why you like this class.

- Name your favorite class
- Include the reason you like the class
- Mention the activities you do in class",Name your favorite class,absent,"states their favorite class without any additional detail (e.g., 'My favorite class is math').","names their favorite class AND provides a reason for liking it (e.g., 'My favorite class is math because I enjoy solving problems'). (scores 2, not 3 — provides a reason but no specific example or detail about the class).","all of 2 AND includes a concrete specific, such as a particular topic or project in the class that they enjoy (e.g., 'My favorite class is math because I enjoy solving problems, especially when we work on geometry projects'). Generic statements like 'it's interesting' do NOT count as concrete specifics.",Reason you like the class,absent,"mentions a reason for liking the class without further detail (e.g., 'I like the class because it's fun').","provides a reason for liking the class AND adds a brief explanation or example (e.g., 'I like the class because it's fun and the teacher makes learning enjoyable'). (scores 2, not 3 — gives a reason and example but lacks a specific detail about the class).","all of 2 AND includes a concrete specific, such as a particular lesson or activity that illustrates why the class is enjoyable (e.g., 'I like the class because it's fun and the teacher makes learning enjoyable, especially when we do science experiments'). Vague reasons like 'it's good' do NOT count as concrete specifics.",Activities you do in class,absent,"mentions an activity done in class without further detail (e.g., 'We do exercises').","mentions an activity AND provides a brief explanation or reason for it (e.g., 'We do exercises to practice what we learn'). (scores 2, not 3 — explains the activity but lacks a specific example or detail).","all of 2 AND includes a concrete specific, such as a particular exercise or project that is memorable (e.g., 'We do exercises to practice what we learn, like the group project where we built a model volcano'). General activities like 'we study' do NOT count as concrete specifics.",Additional on-topic development,"no semantically distinct extra on-topic point, OR the 'extra' content paraphrases an idea already credited under another requirement","introduces a DISTINCT extra on-topic point — not a rephrasing or repeat of any other requirement — within the question's subject, with no further detail","introduces a distinct extra on-topic point AND develops it meaningfully (a real reason, cause, or effect — not just length)",introduces a distinct extra on-topic point AND develops it AND supports it with a concrete specific that genuinely advances the argument,auto-generated,
W-A1-9,a1,note,,25,80,"Write a note about your family.

Include details about your family and life together.

- Include who is in your family
- Mention where you live
- Describe activities you enjoy together",Who is in your family,absent,"mentions a family member without further detail (e.g., 'I have a brother').","mentions a family member and provides a reason or detail about them (e.g., 'I have a brother who is very funny'). (scores 2, not 3 — provides a reason but no specific anecdote or detail about the brother).","all of 2 AND includes a concrete specific about the family member (e.g., 'I have a brother who is very funny; he always tells jokes at dinner that make everyone laugh'). Generic statements like 'my brother is nice' do NOT count as concrete specifics.",Where you live,absent,"states the place they live with no additional detail (e.g., 'I live in a city').","states the place they live and provides a reason or detail about it (e.g., 'I live in a city because it has many parks'). (scores 2, not 3 — provides a reason but no specific park or feature).","all of 2 AND includes a concrete specific about the place (e.g., 'I live in a city because it has many parks, like Central Park where I go jogging every morning'). Vague descriptions like 'a nice place' do NOT count as concrete specifics.",Activities you enjoy together,absent,"mentions an activity done with family without further detail (e.g., 'We play games').","mentions an activity and provides a reason or detail about it (e.g., 'We play games because it is fun'). (scores 2, not 3 — provides a reason but no specific game or occasion).","all of 2 AND includes a concrete specific about the activity (e.g., 'We play games because it is fun; every Sunday we play Monopoly together, which always ends in laughter'). Generic statements like 'we have fun' do NOT count as concrete specifics.",Additional on-topic development,"no semantically distinct extra on-topic point, OR the 'extra' content paraphrases an idea already credited under another requirement","introduces a DISTINCT extra on-topic point — not a rephrasing or repeat of any other requirement — within the question's subject, with no further detail","introduces a distinct extra on-topic point AND develops it meaningfully (a real reason, cause, or effect — not just length)",introduces a distinct extra on-topic point AND develops it AND supports it with a concrete specific that genuinely advances the argument,auto-generated,
W-A1-10,a1,note,,25,80,"You want to tell your friend some important information.

Write a note to your friend.

- Include where you are currently located
- Mention what time you will return
- Describe what activity you are doing",Where you are currently located,absent,"states their current location in a complete sentence without further detail (e.g., 'I am at home').","states their current location and provides a reason or context for being there (e.g., 'I am at home because I am waiting for a delivery'). (scores 2, not 3 — provides a reason but no specific detail about the location or situation).","all of 2 AND includes a concrete specific about the location or situation (e.g., 'I am at home because I am waiting for a delivery from the new bookstore that opened on Main Street'). Generic statements like 'a nice place' do NOT count as concrete specifics.",What time you will return,absent,"mentions a return time in a complete sentence without further detail (e.g., 'I will be back at 5 PM').","mentions a return time and provides a reason or context for the timing (e.g., 'I will be back at 5 PM because my meeting ends at 4:30 PM'). (scores 2, not 3 — provides a reason but no specific detail about the timing or event).","all of 2 AND includes a concrete specific about the timing or event (e.g., 'I will be back at 5 PM because my meeting at the downtown office ends at 4:30 PM, and it takes 30 minutes to drive home'). Vague phrases like 'later in the day' do NOT count as concrete specifics.",What activity you are doing,absent,"mentions an activity in a complete sentence without further detail (e.g., 'I am reading').","mentions an activity and provides a reason or context for doing it (e.g., 'I am reading because I want to relax'). (scores 2, not 3 — provides a reason but no specific detail about the activity or context).","all of 2 AND includes a concrete specific about the activity or context (e.g., 'I am reading a mystery novel by Agatha Christie because I want to relax after a long day at work'). Generic statements like 'a good book' do NOT count as concrete specifics.",Additional on-topic development,"no semantically distinct extra on-topic point, OR the 'extra' content paraphrases an idea already credited under another requirement","introduces a DISTINCT extra on-topic point — not a rephrasing or repeat of any other requirement — within the question's subject, with no further detail","introduces a distinct extra on-topic point AND develops it meaningfully (a real reason, cause, or effect — not just length)",introduces a distinct extra on-topic point AND develops it AND supports it with a concrete specific that genuinely advances the argument,auto-generated,
