gse_score,created_at,topics,cefr_level,_id,updated_by,cefr,cefr_level_id,updated_at,assessment_type_id,domain,assessment_type,created_by
,2026-05-07 12:15:35.792000,"media, arts, literature, and entertainment (b1)",69a6cd8a304b289b4162130b,69fc8267e03f56597fb8c3ce,,b1,,2026-05-07 12:15:35.792000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.735000,"people, relationships, and family (b1)",69a6cd8a304b289b4162130b,69fc8267e03f56597fb8c3c9,,b1,,2026-05-07 12:15:35.735000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.696000,"people, relationships, and family (c1)",69a6cd8a304b289b4162130d,69fc8267e03f56597fb8c3c6,,c1,,2026-05-07 12:15:35.696000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.663000,"holidays, travel, and transportation (c1)",69a6cd8a304b289b4162130d,69fc8267e03f56597fb8c3c3,,c1,,2026-05-07 12:15:35.663000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.628000,"cultures, customs, religion, and traditions (c1)",69a6cd8a304b289b4162130d,69fc8267e03f56597fb8c3c0,,c1,,2026-05-07 12:15:35.628000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.590000,"media, arts, literature, and entertainment (c1)",69a6cd8a304b289b4162130d,69fc8267e03f56597fb8c3bc,,c1,,2026-05-07 12:15:35.590000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.564000,"house, home, and daily life (b2)",69a6cd8a304b289b4162130c,69fc8267e03f56597fb8c3ba,,b2,,2026-05-07 12:15:35.564000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.533000,"education, study, and language (b2)",69a6cd8a304b289b4162130c,69fc8267e03f56597fb8c3b7,,b2,,2026-05-07 12:15:35.533000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.498000,"people, relationships, and family (b2)",69a6cd8a304b289b4162130c,69fc8267e03f56597fb8c3b3,,b2,,2026-05-07 12:15:35.498000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.460000,"shopping, money, and personal finance (b2)",69a6cd8a304b289b4162130c,69fc8267e03f56597fb8c3af,,b2,,2026-05-07 12:15:35.460000,69a6cd4d0466d79b9b26298a,,Writing,
