ref_#,domain,media_description,title,instruction,question,assessment_type,cefr_level,cefr_descriptor,question_type,subtype,skill_focus,topic,context,learning_objective,difficulty,expected_time,discrimination,guessing_factor,weight,considerations,tips,tags,partial_credit_enabled,feedback_correct,feedback_incorrect,correct_count,incorrect_count,max_attempts,word_limit_min,word_limit_max,text_genre,media_key,requirement_1,requirement_1_score_0,requirement_1_score_1,requirement_1_score_2,requirement_1_score_3,requirement_2,requirement_2_score_0,requirement_2_score_1,requirement_2_score_2,requirement_2_score_3,requirement_3,requirement_3_score_0,requirement_3_score_1,requirement_3_score_2,requirement_3_score_3,generic_requirement,generic_requirement_score_0,generic_requirement_score_1,generic_requirement_score_2,generic_requirement_score_3
W-A1-1,General,,,Read the task below and write your response in the space provided.,"Write a note to your family. Tell them:

where you are going
what time you will come back",Writing,b1,"can write clear, detailed, well-structured reviews on complex topics",note,critical review,writing for main idea,shopping and consumer activities,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,0.0,41.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A1-2,General,,,,"""Write about your best friend. Write three sentences. Write about: Who your friend is, What you do together, What you like about your friend.""",Writing,a1,"""can produce simple phrases and sentences about themselves and imaginary people, where they live and what they do.""",sentence level,simple sentence writing,,,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,0.0,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A1-3,General,,,,"""Write about your family. Write three sentences. Say: Who is in your family, Where you live, What you like about your family.""",Writing,a1,"""can produce simple phrases and sentences about themselves and imaginary people, where they live and what they do.""",sentence level,simple sentence writing,,,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,0.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A1-4,General,,,,"""Write about your daily routine. Write three sentences. Say: What you do in the morning, What you do in the afternoon, When you go to bed""",Writing,a1,"""can use simple words/signs and phrases to describe certain everyday objects.""",sentence level,simple sentence writing,,,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,0.0,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A1-5,General,,,,"""Write about your favourite food. Write three sentences. Say: What your favourite food is, Where you usually eat it, Why you like it""",Writing,a1,"""can use simple words/signs and phrases to describe certain everyday objects""",long answer,simple sentence writing,,,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,0.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A1-6,General,,,,"""Write a note to your roommate. Tell them: - where you are going (supermarket/library/gym) - what time you will come back""",Writing,a1,"""can leave a simple message giving information regarding for instance where they have gone, or what time they will be back (e.g. shopping: back at 5 p.m.)""",note,short note writing,,,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,1.0,33.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A1-7,General,,,,Write an email to your friend about food. Tell them: - your favorite food - when you eat it - why you like it,Writing,a1,"can write short, simple emails expressing likes and dislikes",letter/email,simple email,,,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,1.0,20.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A1-8,General,,,,Complete the form with your information AND write a note about your favorite class. Include: - which class you like - why you like it - what you do in class,Writing,a1,can fill in personal information on a form,note,basic form + note,,,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,0.0,45.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A1-9,General,,,,Write about your family. Include: - who is in your family - where you live - what you like doing together,Writing,a1,can produce simple phrases and sentences about themselves and imaginary people,note,simple note writing,,,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,0.0,33.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A1-10,General,,,,Write a note to your friend. Tell them: - where you are - what time you will return - what you are doing,Writing,a1,can leave a simple message giving basic information,note,short message,,,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,0.0,37.0,0,,,,,,,,,,,,,,,,,,,,,,,,
