ref_#,domain,media_description,title,instruction,question,assessment_type,cefr_level,cefr_descriptor,question_type,subtype,skill_focus,topic,context,learning_objective,difficulty,expected_time,discrimination,guessing_factor,weight,tags,partial_credit_enabled,feedback_correct,feedback_incorrect,correct_count,incorrect_count,media_url,max_attempts,word_limit_min,word_limit_max,text_genre
W-A1-1,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a note to your family. </strong></p><p><br></p><p>Tell them:</p><p><br></p><ul><li>where you are going</li><li>what time you will come back</li></ul>,Writing,a1,can write simple sentences about a familiar object.,email / letter,inform (a1),holistic (a1),"house, home, and daily life (a1)",,,0.32,600,0.1,0.0,1.0,,FALSE,,,0,13,,0,31,56,
W-A1-2,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write about your best friend. </strong></p><p><br></p><p> Write about: </p><p><br></p><ul><li>Who your friend is, </li><li>What you do together, </li><li>What you like about your friend.</li></ul>",Writing,a1,"""can produce simple phrases and sentences about themselves and imaginary people, where they live and what they do.""",paragraph,inform (a1),holistic (a1),"people, relationships, and family (a1)",,,0.32,600,0.1,0.0,1.0,,FALSE,,,0.0,9.0,,0,,,
W-A1-3,General,,,Read the task below and write your response in the space provided.,<p><strong>Write about your family.</strong></p><p><br></p><ul><li>Who is in your family?</li><li>Where do you live?</li><li>What do you like about your family?</li></ul><p><br></p>,Writing,a1,can describe the position of things in a picture using a few simple fixed expressions.,paragraph,inform (a1),holistic (a1),workplace and jobs (a1),,,0.32,600,0.1,0.0,1.0,,FALSE,,,0,8,,0,20,150,
W-A1-4,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write about your daily routine. </strong></p><p><br></p><p>Write about: </p><p><br></p><ul><li>What you do in the morning, </li><li>What you do in the afternoon, </li><li>When you go to bed</li></ul>",Writing,a1,"""can use simple words/signs and phrases to describe certain everyday objects.""",paragraph,inform (a1),holistic (a1),"house, home, and daily life (a1)",,,0.32,600,0.1,0.0,1.0,,FALSE,,,0.0,9.0,,0,,,
W-A1-5,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write about your favourite food. </strong></p><p><br></p><p>Write about: </p><p><br></p><ul><li>What your favourite food is, </li><li>Where you usually eat it, </li><li>Why you like it</li></ul>",Writing,a1,"""can use simple words/signs and phrases to describe certain everyday objects""",paragraph,inform (a1),holistic (a1),food and drink (a1),,,0.32,600,0.1,0.0,1.0,,FALSE,,,0.0,5.0,,0,,,
W-A1-6,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a note to your roommate. </strong></p><p><br></p><p>Tell them: </p><p><br></p><ul><li>where you are going </li><li>what time you will come back</li></ul>,Writing,a1,"""can leave a simple message giving information regarding for instance where they have gone, or what time they will be back (e.g. shopping: back at 5 p.m.)""",email / letter,inform (a1),holistic (a1),"house, home, and daily life (a1)",,,0.32,600,0.1,0.0,1.0,,FALSE,,,1.0,17.0,,0,,,
W-A1-7,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an email to your friend about food. </strong></p><p><br></p><p>Tell them: </p><p><br></p><ul><li>your favorite food  </li><li>when you eat it </li><li>why you like it</li></ul>,Writing,a1,"can write short, simple emails expressing likes and dislikes",email / letter,inform (a1),holistic (a1),food and drink (a1),,,0.32,600,0.1,0.0,1.0,,FALSE,,,0.0,34.0,,0,,,
W-A1-9,General,,,Read the task below and write your response in the space provided.,<p><strong>Write about your family. </strong></p><p><br></p><p>Include: - </p><p><br></p><ul><li>who is in your family </li><li>where you live </li><li>what you like doing together</li></ul>,Writing,a1,can produce simple phrases and sentences about themselves and imaginary people,email / letter,inform (a1),holistic (a1),"people, relationships, and family (a1)",,,0.32,600,0.1,0.0,1.0,,FALSE,,,0.0,16.0,,0,,,
W-A1-10,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a note to your friend. </strong></p><p><br></p><p>Tell them: </p><p><br></p><ul><li>where you are </li><li>what time you will return </li><li>what you are doing</li></ul>,Writing,a1,can leave a simple message giving basic information,email / letter,inform (a1),holistic (a1),"house, home, and daily life (a1)",,,0.32,600,0.1,0.0,1.0,,FALSE,,,0.0,16.0,,0,,,
W-A1-11,General,,,Read the task below and write your response in the space provided.,<p><strong>Write about yourself. </strong></p><p><br></p><p>Include:</p><p> </p><ul><li>your name and age </li><li>what you like doing </li><li>your favorite things</li></ul>,Writing,a1,can give information about matters of personal relevance using simple words,email / letter,inform (a1),holistic (a1),"people, relationships, and family (a1)",,,0.32,600,0.1,0.0,1.0,,FALSE,,,0.0,12.0,,0,,,
W-A2-1,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write a message to your friend about going to a football match. </strong></p><p><br></p><p>Include the date, time, and place.</p>",Writing,a2,"""can write short, simple notes and messages relating to matters in areas of immediate need""",email / letter,inform (a2),holistic (a2),"sports, hobbies, and interests (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0.0,4.0,,0,,,
W-A2-2,General,,,Read the task below and write your response in the space provided.,<p><strong>Write about your favorite place in your town. </strong></p><p><br></p><p>Include: </p><p><br></p><ul><li>where it is </li><li>what you can do there </li><li>why you like it</li></ul>,Writing,a2,"can write very short, basic descriptions of events, past activities and personal experiences",paragraph,describe (a2),holistic (a2),"countries, cities, towns, and public places (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
W-A2-3,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a note to your teacher explaining:</strong></p><p><br></p><ul><li>why you missed class </li><li>when you will return </li><li>what homework you need</li></ul>,Writing,a2,"can write short, simple notes and messages relating to matters in areas of immediate need",email / letter,inform (a2),holistic (a2),"education, study, and language (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0.0,3.0,,0,,,
W-A2-4,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an email inviting a friend to join your sports club. </strong></p><p><br></p><p>Include: - </p><p><br></p><ul><li>type of sport </li><li>when you meet </li><li>what they need </li><li>why they should join</li></ul>,Writing,a2,"can write short, simple notes and messages",email / letter,inform (a2),holistic (a2),"sports, hobbies, and interests (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0.0,10.0,,0,,,
W-A2-5,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a note to your teacher.</strong></p><p><br></p><p>Say why you forgot your homework and when you will finish it.</p>,Writing,a2,"""can compose short, simple formulaic notes relating to matters in areas of immediate need""",email / letter,inform (a2),holistic (a2),"education, study, and language (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0.0,3.0,,0,,,
W-A2-6,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write an email to your friend inviting them to a picnic. </strong></p><p><br></p><p>Include the date, time, and what to bring.</p>",Writing,a2,"""can write very simple personal letters expressing thanks and apology""",email / letter,inform (a2),holistic (a2),"sports, hobbies, and interests (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0.0,7.0,,0,,,
W-A2-7,General,,,Read the task below and write your response in the space provided.,<p><strong>Write about a holiday you went on.</strong></p><p><br></p><ul><li>Where did you go?</li><li>What did you do there?</li><li>What did you like the most?</li></ul><p><br></p>,Writing,a2,"""can give very short, basic descriptions of events, past activities and personal experiences""",paragraph,inform (a2),holistic (a2),"holidays, travel, and transportation (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0,1,,0,25,250,
W-A2-8,General,,,Read the task below and write your response in the space provided.,<p><strong>Write about a place you would like to visit.</strong></p><p><br></p><ul><li>Where would you like to go?</li><li>What would you like to do there?</li><li>Why do you want to go?</li></ul><p><br></p>,Writing,a2,"""can compose short, simple notes, emails and text messages""",paragraph,inform (a2),holistic (a2),"sports, hobbies, and interests (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0,1,,0,25,250,
W-A2-9,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a shopping list for your friend. </strong></p><p><br></p><p>Include: - </p><p><br></p><ul><li>5 items you need </li><li>quantities for each item </li><li>where to buy them</li></ul>,Writing,a2,"""can write short, simple notes and messages relating to matters in areas of immediate need""",email / letter,inform (a2),holistic (a2),"shopping, money, and personal finance (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-A2-10,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write an email responding to your friend's party invitation. </strong></p><p><br></p><p>Say: </p><p><br></p><ul><li>if you can come </li><li>thank them </li><li>ask what to bring""</li></ul>",Writing,a2,"""can write very simple personal letters expressing thanks and apology""",email / letter,request/respond (a2),holistic (a2),"sports, hobbies, and interests (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0.0,8.0,,0,,,
W-A2-11,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a note to your exercise partner about tomorrow's workout. </strong></p><p><br></p><p>Tell them: - </p><p><br></p><ul><li>what time to meet </li><li>where to meet </li><li>what exercise you plan to do </li><li>what they need to bring</li></ul>,Writing,a2,"can write short, simple notes and messages relating to matters in areas of immediate need",email / letter,inform (a2),holistic (a2),body and health (a2),,,0.47,600,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-A2-12,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an email to a shop about an item you bought yesterday that doesn't work. </strong></p><p><br></p><p>Include: </p><p><br></p><ul><li>what you bought </li><li>what the problem is </li><li>what you want them to do</li></ul>,Writing,a2,can write very simple personal letters expressing thanks and apology,email / letter,request/respond (a2),holistic (a2),"shopping, money, and personal finance (a2)",,,0.47,600,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-B1-1,General,,,Read the task below and write your response in the space provided.,"<p>Your local council is concerned about the increasing amount of waste produced in the community.</p><p> </p><p><strong>Write a report outlining the current situation, its causes, and possible solutions. </strong></p><p><br></p><p>Include recommendations for reducing waste.</p><p><br></p><p>Think about the below:</p><p><br></p><ul><li>Describe the current waste management practices and their shortcomings.</li><li>Identify the main sources of waste in your community.</li><li>Suggest practical measures that individuals and the council can take to reduce waste.</li></ul>",Writing,b1,"""can synthesize information and arguments from a number of sources""",report,inform (b1),holistic (b1),natural world and environment (b1),,,0.64,1200,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
