sr_no,answer
1,"Listening to music is considered a hobby which relieves stress among people. Music helps process feelings that cannot be expressed. While doing exercise in gym or out door activities, music blocks distractions and makes these activities faster. Music helps create unity through the shared play lists Music helps in cultural identity, basing on the type of music played. It reveals where one comes from for example amapiano and kadongo kamu. Music helps in celebrations which is crucial in bringing happiness among celebrants for example in parties Music is crucial in managing pain for example before surguries, music is played and patients feel less pain. Music is used in encouranging one another for example those who are depressed. Music is also used as sleep aid for example as lallabys for babies while going to sleep. Music is used as therapy among people for example those with autism, stroke which helps in recovery. Music is a vital mechanism in worship which helps revive spiritual life of many people all over the world. Music is used as a business tool for earning income through making money by publishing song. Music is also used as a political tool for searching votes."
2,"Listening to music is considered a hobby which relieves stress among people. Music helps process feelings that cannot be expressed. While doing exercise in gym or out door activities, music blocks distractions and makes these activities faster. Music helps create unity through the shared play lists Music helps in cultural identity, basing on the type of music played. It reveals where one comes from for example amapiano and kadongo kamu. Music helps in celebrations which is crucial in bringing happiness among celebrants for example in parties Music is crucial in managing pain for example before surguries, music is played and patients feel less pain. Music is used in encouranging one another for example those who are depressed. Music is also used as sleep aid for example as lallabys for babies while going to sleep. Music is used as therapy among people for example those with autism, stroke which helps in recovery. Music is a vital mechanism in worship which helps revive spiritual life of many people all over the world. Music is used as a business tool for earning income through making money by publishing song. Music is also used as a political tool for searching votes."
3,"Listening to music is considered a hobby which relieves stress among people. Music helps process feelings that cannot be expressed. While doing exercise in gym or out door activities, music blocks distractions and makes these activities faster. Music helps create unity through the shared play lists Music helps in cultural identity, basing on the type of music played. It reveals where one comes from for example amapiano and kadongo kamu. Music helps in celebrations which is crucial in bringing happiness among celebrants for example in parties Music is crucial in managing pain for example before surguries, music is played and patients feel less pain. Music is used in encouranging one another for example those who are depressed. Music is also used as sleep aid for example as lallabys for babies while going to sleep. Music is used as therapy among people for example those with autism, stroke which helps in recovery. Music is a vital mechanism in worship which helps revive spiritual life of many people all over the world. Music is used as a business tool for earning income through making money by publishing song. Music is also used as a political tool for searching votes."
4,"Listening to music is considered a hobby which relieves stress among people. Music helps process feelings that cannot be expressed. While doing exercise in gym or out door activities, music blocks distractions and makes these activities faster. Music helps create unity through the shared play lists Music helps in cultural identity, basing on the type of music played. It reveals where one comes from for example amapiano and kadongo kamu. Music helps in celebrations which is crucial in bringing happiness among celebrants for example in parties Music is crucial in managing pain for example before surguries, music is played and patients feel less pain. Music is used in encouranging one another for example those who are depressed. Music is also used as sleep aid for example as lallabys for babies while going to sleep. Music is used as therapy among people for example those with autism, stroke which helps in recovery. Music is a vital mechanism in worship which helps revive spiritual life of many people all over the world. Music is used as a business tool for earning income through making money by publishing song. Music is also used as a political tool for searching votes."
5,"Listening to music is considered a hobby which relieves stress among people. Music helps process feelings that cannot be expressed. While doing exercise in gym or out door activities, music blocks distractions and makes these activities faster. Music helps create unity through the shared play lists Music helps in cultural identity, basing on the type of music played. It reveals where one comes from for example amapiano and kadongo kamu. Music helps in celebrations which is crucial in bringing happiness among celebrants for example in parties Music is crucial in managing pain for example before surguries, music is played and patients feel less pain. Music is used in encouranging one another for example those who are depressed. Music is also used as sleep aid for example as lallabys for babies while going to sleep. Music is used as therapy among people for example those with autism, stroke which helps in recovery. Music is a vital mechanism in worship which helps revive spiritual life of many people all over the world. Music is used as a business tool for earning income through making money by publishing song. Music is also used as a political tool for searching votes."
6,"Listening to music is considered a hobby which relieves stress among people. Music helps process feelings that cannot be expressed. While doing exercise in gym or out door activities, music blocks distractions and makes these activities faster. Music helps create unity through the shared play lists Music helps in cultural identity, basing on the type of music played. It reveals where one comes from for example amapiano and kadongo kamu. Music helps in celebrations which is crucial in bringing happiness among celebrants for example in parties Music is crucial in managing pain for example before surguries, music is played and patients feel less pain. Music is used in encouranging one another for example those who are depressed. Music is also used as sleep aid for example as lallabys for babies while going to sleep. Music is used as therapy among people for example those with autism, stroke which helps in recovery. Music is a vital mechanism in worship which helps revive spiritual life of many people all over the world. Music is used as a business tool for earning income through making money by publishing song. Music is also used as a political tool for searching votes."
7,"Listening to music is considered a hobby which relieves stress among people. Music helps process feelings that cannot be expressed. While doing exercise in gym or out door activities, music blocks distractions and makes these activities faster. Music helps create unity through the shared play lists Music helps in cultural identity, basing on the type of music played. It reveals where one comes from for example amapiano and kadongo kamu. Music helps in celebrations which is crucial in bringing happiness among celebrants for example in parties Music is crucial in managing pain for example before surguries, music is played and patients feel less pain. Music is used in encouranging one another for example those who are depressed. Music is also used as sleep aid for example as lallabys for babies while going to sleep. Music is used as therapy among people for example those with autism, stroke which helps in recovery. Music is a vital mechanism in worship which helps revive spiritual life of many people all over the world. Music is used as a business tool for earning income through making money by publishing song. Music is also used as a political tool for searching votes."
8,"Listening to music is considered a hobby which relieves stress among people. Music helps process feelings that cannot be expressed. While doing exercise in gym or out door activities, music blocks distractions and makes these activities faster. Music helps create unity through the shared play lists Music helps in cultural identity, basing on the type of music played. It reveals where one comes from for example amapiano and kadongo kamu. Music helps in celebrations which is crucial in bringing happiness among celebrants for example in parties Music is crucial in managing pain for example before surguries, music is played and patients feel less pain. Music is used in encouranging one another for example those who are depressed. Music is also used as sleep aid for example as lallabys for babies while going to sleep. Music is used as therapy among people for example those with autism, stroke which helps in recovery. Music is a vital mechanism in worship which helps revive spiritual life of many people all over the world. Music is used as a business tool for earning income through making money by publishing song. Music is also used as a political tool for searching votes."
9,"Listening to music is considered a hobby which relieves stress among people. Music helps process feelings that cannot be expressed. While doing exercise in gym or out door activities, music blocks distractions and makes these activities faster. Music helps create unity through the shared play lists Music helps in cultural identity, basing on the type of music played. It reveals where one comes from for example amapiano and kadongo kamu. Music helps in celebrations which is crucial in bringing happiness among celebrants for example in parties Music is crucial in managing pain for example before surguries, music is played and patients feel less pain. Music is used in encouranging one another for example those who are depressed. Music is also used as sleep aid for example as lallabys for babies while going to sleep. Music is used as therapy among people for example those with autism, stroke which helps in recovery. Music is a vital mechanism in worship which helps revive spiritual life of many people all over the world. Music is used as a business tool for earning income through making money by publishing song. Music is also used as a political tool for searching votes."
10,"Listening to music is considered a hobby which relieves stress among people. Music helps process feelings that cannot be expressed. While doing exercise in gym or out door activities, music blocks distractions and makes these activities faster. Music helps create unity through the shared play lists Music helps in cultural identity, basing on the type of music played. It reveals where one comes from for example amapiano and kadongo kamu. Music helps in celebrations which is crucial in bringing happiness among celebrants for example in parties Music is crucial in managing pain for example before surguries, music is played and patients feel less pain. Music is used in encouranging one another for example those who are depressed. Music is also used as sleep aid for example as lallabys for babies while going to sleep. Music is used as therapy among people for example those with autism, stroke which helps in recovery. Music is a vital mechanism in worship which helps revive spiritual life of many people all over the world. Music is used as a business tool for earning income through making money by publishing song. Music is also used as a political tool for searching votes."
